guid,make,model,deviceType,connNetwork,hasWifi,width,depth,height,weight,speedMono,printDPI,speedColor,standardinputcapacity,maximuminputcapacity,hasA3,printTechnology,copy,scan,fax,hasDuplex,powerActive,listprice
HP0243,Hewlett-Packard,DeskJet 3630 AiO,MFD Color,FALSE,TRUE,17.24,12.2,6.22,9.19,8.5,4800 x 1200,6,60,60,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,10,69.99
HP2154,Hewlett-Packard,Deskjet 3634,MFD Color,FALSE,TRUE,17.24,12.2,6.2,9.19,20,4800 x 1200,20,60,60,FALSE,Inkjet,TRUE,FALSE,FALSE,FALSE,10,77.99
HP2155,Hewlett-Packard,Deskjet 3636,MFD Color,FALSE,TRUE,17.24,12.2,6.2,9.19,20,4800 x 1200,16,60,60,FALSE,Inkjet,TRUE,FALSE,FALSE,FALSE,10,125.96
HP2156,Hewlett-Packard,Deskjet 3637,MFD Color,FALSE,TRUE,17.25,12.2,6.2,9.19,8.5,4800 x 1200,6,60,60,FALSE,Inkjet,TRUE,FALSE,FALSE,FALSE,10,139.99
HP2157,Hewlett-Packard,OfficeJet 3830 AiO,MFD Color,FALSE,TRUE,17.72,14.33,8.83,12.37,8.5,4800 x 1200,6,60,60,FALSE,Inkjet,TRUE,TRUE,TRUE,FALSE,10,79.99
HP0191,Hewlett-Packard,Envy 4520 AiO,MFD Color,FALSE,TRUE,17.52,14.45,5.04,11.93,9.5,4800 x 1200,6.8,100,100,FALSE,Inkjet,TRUE,TRUE,FALSE,TRUE,15,99.89
HP2158,Hewlett-Packard,OJ 4650 All-in-One Printer,MFD Color,FALSE,TRUE,17.53,14.53,7.5,14.43,9.5,4800 x 1200,6.8,100,100,FALSE,Inkjet,TRUE,TRUE,TRUE,TRUE,15,99.99
HP2160,Hewlett-Packard,Officejet 4630 e-AiO,MFD Color,FALSE,TRUE,17.52,13.15,4.72,16.67,8.8,4800 x 1200,5.2,100,100,FALSE,Inkjet,TRUE,TRUE,TRUE,TRUE,15,123
HP2166,Hewlett-Packard,Officejet 6600 e-AiO,MFD Color,FALSE,TRUE,18.27,17.64,9.92,17.17,14,4800 x 1200,8,250,250,FALSE,Inkjet,TRUE,TRUE,TRUE,FALSE,43,185
HP2167,Hewlett-Packard,Officejet Pro 6230 ePrinter,SF Color,TRUE,TRUE,18.26,15.15,5.72,11.24,18,600 x 1200,10,225,225,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,24,123
HP2170,Hewlett-Packard,OfficeJet Pro 6978 AiO,MFD Color,TRUE,TRUE,18.26,15.35,9,17.9,20,600 x 1200,11,225,225,FALSE,Inkjet,TRUE,TRUE,TRUE,TRUE,27,99.99
HP2178,Hewlett-Packard,OfficeJet Pro 6968 AiO,MFD Color,TRUE,TRUE,18.26,15.35,9,17.7,18,600 x 1200,10,225,225,FALSE,Inkjet,TRUE,TRUE,TRUE,TRUE,27,149.99
HP2179,Hewlett-Packard,OfficeJet 7510,MFD Color,TRUE,TRUE,24.13,19.02,14.41,28.66,15,4800 x 1200,8,250,250,TRUE,Inkjet,TRUE,TRUE,TRUE,TRUE,27.7,199.99
BR0304,Brother,MFC-J430W,MFD Color,FALSE,TRUE,15.9,14.9,7.1,19.8,33,600 x 1200,26,100,100,FALSE,Inkjet,TRUE,TRUE,TRUE,FALSE,28,100
HP2180,Hewlett-Packard,Color LaserJet CP1215,SF Color,FALSE,FALSE,15.71,17.83,10,38.8,12,600 x 600,8,150,150,FALSE,Laser,FALSE,FALSE,FALSE,TRUE,290,150.99
BR0314,Brother,MFC-J5910DW,MFD Color,TRUE,TRUE,20.2,18.1,10.2,29.98,35,600 x 1200,27,250,250,FALSE,Inkjet,TRUE,TRUE,TRUE,TRUE,21,200
HP2182,Hewlett-Packard,Officejet Pro 8600 e-AiO n911a,MFD Color,TRUE,TRUE,19.45,18.11,11.81,25.3,18,4800 x 1200,13,250,500,FALSE,Inkjet,TRUE,TRUE,TRUE,TRUE,28,138
HP2183,Hewlett-Packard,Officejet Pro 8000,SF Color,TRUE,FALSE,19.45,18.86,7.09,17.2,35,4800 x 1200,34,250,500,FALSE,Inkjet,FALSE,FALSE,FALSE,TRUE,48,183
HP0303,Hewlett-Packard,OfficeJet Pro 7740 AiO,MFD Color,TRUE,TRUE,22.99,28.06,15.09,42.99,22,4800 x 1200,18,250,500,TRUE,Inkjet,TRUE,TRUE,TRUE,TRUE,37,199.99
HP2190,Hewlett-Packard,OfficeJet Pro 8710 AiO,MFD Color,TRUE,TRUE,19.67,15.94,13.35,25.44,22,4800 x 1200,18,250,250,FALSE,Inkjet,TRUE,TRUE,TRUE,TRUE,35,109.99
HP2191,Hewlett-Packard,OfficeJet Pro 8210,SF Color,TRUE,TRUE,19.53,16.54,7.99,19,22,1200 x 1200,18,250,250,FALSE,Inkjet,FALSE,FALSE,FALSE,TRUE,30,160
HP0193,Hewlett-Packard,DeskJet 2540 AiO,MFD Color,FALSE,TRUE,16.73,12.05,6.18,11.49,7,1200 x 1200,4,50,50,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,10,79.99
HP0248,Hewlett-Packard,Envy 5540 AiO,MFD Color,FALSE,TRUE,17.87,16.14,6.14,15.04,12,4800 x 1200,8,125,125,FALSE,Inkjet,TRUE,TRUE,FALSE,TRUE,13.95,104.99
HP2193,Hewlett-Packard,Envy 4500 e-AiO,MFD Color,TRUE,TRUE,17.52,23.94,15.35,12.1,8.8,4800 x 1200,5.2,100,100,FALSE,Inkjet,TRUE,TRUE,FALSE,TRUE,13.07,135
HP2194,Hewlett-Packard,Envy 5660 e-AiO,MFD Color,FALSE,TRUE,17.87,19.8,6.34,15.04,22,1200 x 1200,21,125,125,FALSE,Inkjet,TRUE,TRUE,FALSE,TRUE,0,185
HP2195,Hewlett-Packard,Envy 5530 e-AiO,MFD Color,FALSE,TRUE,17.52,23.94,15.35,12.26,21,1200 x 600,17,100,100,FALSE,Inkjet,TRUE,TRUE,FALSE,TRUE,13.95,160
HP2196,Hewlett-Packard,DeskJet 3520 e-AiO,MFD Color,FALSE,TRUE,17.17,14.17,5.67,11.02,8,4800 x 1200,7.5,80,80,FALSE,Inkjet,TRUE,TRUE,FALSE,TRUE,13.38,123
HP2201,Hewlett-Packard,OfficeJet 5740,MFD Color,TRUE,TRUE,17.87,19.8,7.6,16.75,12,4800 x 1200,8,125,125,FALSE,Inkjet,TRUE,TRUE,TRUE,TRUE,0,129.8
BR0325,Brother,HL-3140CW,SF Color,FALSE,TRUE,16.14,18.31,9.45,38.36,18,600 x 2400,18,250,250,FALSE,Laser,FALSE,FALSE,FALSE,FALSE,335,199.99
SG0278,Samsung,CLP 325W,SF Color,TRUE,TRUE,15.3,12.3,9.5,24.3,16,2400 x 600,4,130,130,FALSE,Laser,FALSE,FALSE,FALSE,FALSE,350,99.78
EP0268,Epson,WorkForce WF-2630,MFD Color,FALSE,TRUE,15.39,21.3,11.5,12.81,9,5760 x 1440,4.7,100,100,FALSE,Inkjet,TRUE,TRUE,TRUE,FALSE,11,49.99
BR0327,Brother,HL-4570CDW,SF Color,TRUE,TRUE,16.1,19.1,12.3,46.3,30,2400 x 600,30,250,500,FALSE,Laser,FALSE,FALSE,FALSE,TRUE,560,175.96
EP0269,Epson,WorkForce WF-2650,MFD Color,FALSE,TRUE,16.69,22,9.09,14.59,13,4800 x 1200,7.3,150,150,FALSE,Inkjet,TRUE,TRUE,TRUE,FALSE,14,129.99
EP0270,Epson,WorkForce WF-3520,MFD Color,TRUE,TRUE,17.7,16.4,9.6,19.8,15,5760 x 1440,9.3,250,250,FALSE,Inkjet,TRUE,TRUE,TRUE,TRUE,17,149.99
DL0096,Dell,C1760nw,SF Color,TRUE,TRUE,15.51,11.81,8.86,23.37,15,600 x 600,12,160,160,FALSE,Laser,FALSE,FALSE,FALSE,FALSE,290,79.99
BR0331,Brother,HL-4040CDN,SF Color,TRUE,FALSE,16.5,18.7,12.5,64.2,21,2400 x 600,21,250,300,FALSE,Laser,FALSE,FALSE,FALSE,FALSE,510,99.95
SG0050,Samsung,CLP-310,SF Color,FALSE,FALSE,15.3,12.3,9.6,24.25,16,2400 x 600,4,150,150,FALSE,Laser,FALSE,FALSE,FALSE,FALSE,350,199
SG0267,Samsung,CLP-320,SF Color,FALSE,FALSE,15.3,12.3,9.6,24.25,16,2400 x 600,4,130,130,FALSE,Laser,FALSE,FALSE,FALSE,TRUE,350,199.99
HP0292,Hewlett-Packard,ENVY 4510 series,MFD Color,FALSE,TRUE,17.5,13.79,4.65,11.89,20,1200 x 1200,16,105,105,FALSE,Inkjet,TRUE,TRUE,TRUE,TRUE,27.7,99.89
HP1638,Hewlett-Packard,DeskJet 845c,SF Color,FALSE,FALSE,17.6,13.8,7.2,11.9,4.7,600 x 1200,3.5,100,100,FALSE,Inkjet,FALSE,FALSE,FALSE,Optional,45,99
HP1654,Hewlett-Packard,DeskJet 697c,SF Color,TRUE,FALSE,17.2,16,7.8,11.68,5,600 x 300,1.7,100,100,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,12,180
HP1656,Hewlett-Packard,DeskJet 6988dt,SF Color,TRUE,TRUE,17.7,17.2,8.1,19.62,9.6,4800 x 1200,5.8,150,400,FALSE,Inkjet,FALSE,FALSE,FALSE,TRUE,50,179
HP1660,Hewlett-Packard,DeskJet 812c,SF Color,TRUE,FALSE,17.6,14,7.5,12.57,6.5,600 x 600,4.5,100,100,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,45,150
HP1665,Hewlett-Packard,DeskJet D1360,SF Color,FALSE,FALSE,16.61,7.17,5.59,4.5,6.7,4800 x 1200,2.8,80,80,FALSE,Inkjet,FALSE,FALSE,FALSE,Optional,20,69
HP1680,Hewlett-Packard,Business InkJet 1100d,SF Color,TRUE,FALSE,19.48,17.95,8.46,20.1,7.5,1200 x 1200,7,150,250,FALSE,Inkjet,FALSE,FALSE,FALSE,TRUE,80,199.99
HP1695,Hewlett-Packard,DeskJet 3650,SF Color,FALSE,FALSE,16.9,8.1,5.7,5.07,8,4800 x 1200,4,100,100,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,25,199.99
EP0271,Epson,Stylus C84,SF Color,TRUE,FALSE,18.1,9.5,7.8,9.26,22,5760 x 1440,12,120,120,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,19,100
CN0481,Canon,i470D,SF Color,FALSE,FALSE,15.5,10.1,8.6,8.8,18,4800 x 1200,12,100,100,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,16,149.99
CN0497,Canon,i475D,SF Color,FALSE,FALSE,15.5,10.1,8.6,8.8,18,4800 x 1200,12,100,100,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,16,79.99
CN0504,Canon,BJC-50,SF Color,FALSE,TRUE,11.9,4.4,1.6,1.98,5.5,720 x 360,2,30,30,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,23,159.99
CN0505,Canon,i250,SF Color,FALSE,FALSE,15.2,7.7,6.5,3.75,12,4800 x 1200,9,100,100,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,14,49.99
CN0508,Canon,i350,SF Color,FALSE,FALSE,15.2,7.7,6.5,5.3,16,4800 x 1200,11,100,100,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,14,49.99
CN0509,Canon,i450,SF Color,FALSE,FALSE,15.5,10,7.8,8.2,18,4800 x 1200,12,100,100,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,16,99.99
CN0511,Canon,S520,SF Color,TRUE,FALSE,16.9,11.6,7,11,14,2400 x 1200,9,100,100,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,33,98.08
CN0513,Canon,S600,SF Color,TRUE,FALSE,16.9,11.6,7,11,15,2400 x 1200,10,100,100,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,33,200
CN0514,Canon,i550,SF Color,TRUE,FALSE,16.5,10.8,6.3,7.3,18,4800 x 1200,11,150,150,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,0,99.99
HP2211,Hewlett-Packard,DeskJet 630c,SF Color,TRUE,FALSE,17.2,16,7.9,11.68,5,600 x 600,2,100,100,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,23,61
EP0274,Epson,Stylus C82,SF Color,TRUE,FALSE,18.5,23.3,12.4,11.46,22,5760 x 1440,11,150,150,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,0,149
EP0276,Epson,Stylus C64,SF Color,FALSE,FALSE,17.7,9.5,7.6,9.26,17,5760 x 1440,9,120,120,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,12,59
EP0277,Epson,Stylus C62,SF Color,TRUE,FALSE,18.9,10.2,7.1,7.28,14,5760 x 1440,10,100,100,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,18,99
EP0278,Epson,Stylus C60,SF Color,TRUE,FALSE,18.9,10.2,7.1,7.28,12,2880 x 720,12,100,100,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,17,100
EP0280,Epson,Stylus C86,SF Color,TRUE,FALSE,18.1,23.3,12.1,9.7,22,5760 x 1440,12,120,120,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,19,199.99
HP2212,Hewlett-Packard,DeskJet 3820,SF Color,TRUE,FALSE,20.85,14.8,7.65,11.63,12,4800 x 1200,10,100,100,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,25,98
EP0286,Epson,Stylus Color 800N,SF Color,TRUE,FALSE,18.7,24,12.4,14.3,8,1400 x 720,7,100,100,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,18,163.03
HP2218,Hewlett-Packard,DeskJet 5550,SF Color,TRUE,FALSE,17.68,14.49,5.67,11.28,17,1200 x 1200,12,100,100,FALSE,Inkjet,FALSE,FALSE,FALSE,Optional,30,123
HP2222,Hewlett-Packard,DeskJet 6540,SF Color,FALSE,FALSE,17.72,14.45,5.67,13.18,9.8,600 x 600,5.7,150,400,FALSE,Inkjet,FALSE,FALSE,FALSE,Optional,32,159
HP2235,Hewlett-Packard,DeskJet 932c,SF Color,TRUE,FALSE,17.3,15.7,7.7,12.57,9,2400 x 1200,7.5,100,100,FALSE,Inkjet,FALSE,FALSE,FALSE,Optional,25,160.5
HP2236,Hewlett-Packard,DeskJet 840c,SF Color,TRUE,FALSE,17.6,14,7.3,12.57,8,600 x 1200,5,100,100,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,45,125
HP2238,Hewlett-Packard,DeskJet 940c,SF Color,TRUE,FALSE,17.3,14.6,7.7,12.79,12,600 x 600,3,150,150,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,25,158.62
HP2239,Hewlett-Packard,PSC 1210,MFD Color,FALSE,FALSE,16.76,10.2,6.68,10.8,7.8,600 x 600,3.6,100,100,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,55,111
HP2244,Hewlett-Packard,BUSINESS INKJET 1000,SF Color,TRUE,FALSE,19.5,16.2,8.4,14.33,6,4800 x 1200,5,150,150,FALSE,Inkjet,FALSE,FALSE,FALSE,Optional,80,149
HP2247,Hewlett-Packard,DeskJet 5440,SF Color,FALSE,FALSE,18.07,8.66,6.65,7.72,7.4,4800 x 1200,5,100,100,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,44,79.99
HP2252,Hewlett-Packard,DeskJet 6840,SF Color,TRUE,TRUE,17.76,17.05,5.67,15.21,9.8,600 x 600,5.7,150,150,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,32,145.99
HP2253,Hewlett-Packard,DeskJet 6620,SF Color,TRUE,FALSE,17.76,14.45,5.67,13.18,9.8,4800 x 1200,5.7,400,400,FALSE,Inkjet,FALSE,FALSE,FALSE,Optional,62,183
HP2254,Hewlett-Packard,DeskJet 656c,SF Color,FALSE,FALSE,18.6,10,8.7,10.14,6,600 x 300,3,100,100,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,23,61.5
HP2258,Hewlett-Packard,DeskJet 610cl,SF Color,TRUE,FALSE,17.2,16,7.9,11.68,4,600 x 300,1,100,100,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,12,126
HP2263,Hewlett-Packard,DeskJet 632c,SF Color,TRUE,FALSE,17.2,16,7.9,11.68,5,600 x 300,2.5,100,100,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,23,62
HP2270,Hewlett-Packard,DeskJet 5150,SF Color,FALSE,FALSE,17.7,14.6,5.7,11.7,6.8,4800 x 1200,4.6,150,150,FALSE,Inkjet,FALSE,FALSE,FALSE,Optional,30,110
HP2273,Hewlett-Packard,DeskJet 3940,SF Color,FALSE,FALSE,16.6,13.6,5.6,4.41,16,1200 x 1200,12,80,80,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,25,49.99
HP2275,Hewlett-Packard,DeskJet 3845,SF Color,FALSE,FALSE,16.9,8.1,5.6,5.02,8,4800 x 1200,1,100,100,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,25,174.99
HP2318,Hewlett-Packard,PSC 2350,MFD Color,FALSE,FALSE,17.2,11.1,6.7,12.2,20,4800 x 1200,15,100,100,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,80,180
HP2320,Hewlett-Packard,PSC 1315,MFD Color,FALSE,FALSE,16.76,10.2,6.68,10,17,4800 x 1200,12,100,100,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,80,123
HP2375,Hewlett-Packard,PSC 1600 All-in-One,MFD Color,FALSE,FALSE,17.3,11.2,6.8,12.13,18,4800 x 1200,14,100,100,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,70,131
HP2327,Hewlett-Packard,DeskJet D4360,SF Color,FALSE,FALSE,17.5,18.9,5.83,7.9,9.1,4800 x 1200,5.8,80,80,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,20,189.99
HP2328,Hewlett-Packard,DeskJet D4160,SF Color,FALSE,FALSE,18.1,8.7,6.7,7.72,30,4800 x 1200,23,100,100,FALSE,Inkjet,FALSE,FALSE,FALSE,Optional,44,179.99
HP2329,Hewlett-Packard,PSC 1311,MFD Color,FALSE,FALSE,16.8,10.2,6.7,10.36,15,4800 x 1200,11,100,100,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,70,100
HP2330,Hewlett-Packard,DeskJet 6980dt,SF Color,TRUE,TRUE,17.7,17.2,8.1,19.62,9.6,4800 x 1200,5.8,150,400,FALSE,Inkjet,FALSE,FALSE,FALSE,TRUE,0,179.99
HP2331,Hewlett-Packard,DeskJet D1660,SF Color,FALSE,FALSE,17.01,7.8,6.22,4.85,7,4800 x 1200,5,80,80,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,20,38
HP2332,Hewlett-Packard,DeskJet D2330,SF Color,FALSE,FALSE,18.4,16.3,5.5,5.51,12.5,4800 x 1200,12.5,100,100,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,20,51
HP2333,Hewlett-Packard,DeskJet D2360,SF Color,FALSE,FALSE,18.39,16.34,5.51,5.51,6.9,4800 x 1200,2.9,100,100,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,20,189.99
HP2334,Hewlett-Packard,DeskJet D2430,SF Color,FALSE,FALSE,16.86,16.3,5.6,5.51,12.5,4800 x 1200,12.5,80,80,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,20,51
HP2335,Hewlett-Packard,DeskJet D2460,SF Color,FALSE,FALSE,16.86,7.57,5.51,5.51,20,4800 x 1200,14,80,80,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,20,61.5
HP2336,Hewlett-Packard,DeskJet D2530,SF Color,FALSE,FALSE,17.2,12.1,5.6,6.17,16,4800 x 1200,16,80,80,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,0,51
HP2337,Hewlett-Packard,DeskJet D2680,SF Color,FALSE,FALSE,17.8,8.1,6.8,5.95,28,4800 x 1200,21,80,80,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,20,189.9
HP2338,Hewlett-Packard,DeskJet 950c,SF Color,TRUE,FALSE,17.3,14.6,7.7,13.23,11,2400 x 1200,8.5,100,100,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,25,176
BR0339,Brother,IntelliFax-1840C,MFD Color,FALSE,FALSE,15.3,14.4,7.6,11,20,1200 x 600,15,100,100,FALSE,Inkjet,TRUE,FALSE,TRUE,FALSE,0,149.99
LM0616,Lexmark,X2250,MFD Color,FALSE,FALSE,17.5,12.1,6.5,9,14,4800 x 1200,8,100,100,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,0,139.99
LM0617,Lexmark,X5270,MFD Color,FALSE,FALSE,17.4,12.6,6.3,10,22,4800 x 1200,15,100,100,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,0,96.99
LM0618,Lexmark,X4270,MFD Color,FALSE,FALSE,20.4,11.7,7.3,9.48,19,4800 x 1200,10,100,100,FALSE,Inkjet,TRUE,TRUE,TRUE,FALSE,0,179.99
LM0619,Lexmark,X1185,MFD Color,FALSE,FALSE,17.5,12.1,6.6,9,14,4800 x 1200,8,100,100,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,0,89.99
CN0516,Canon,PIXMA MP520,MFD Color,FALSE,FALSE,17.9,14.9,6.8,16.5,30,4800 x 1200,20,150,150,FALSE,Inkjet,TRUE,TRUE,FALSE,TRUE,17,199.95
HP2347,Hewlett-Packard,DeskJet 3930,SF Color,FALSE,FALSE,16.6,7.2,5.6,4.41,11,1200 x 1200,11,80,80,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,25,89.99
HP2348,Hewlett-Packard,PSC 2110,MFD Color,FALSE,FALSE,18.2,14.6,8.7,17.25,14,4800 x 1200,10,100,100,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,75,161
HP2349,Hewlett-Packard,Officejet 6000 Wireless Printer,SF Color,TRUE,TRUE,18.03,18.7,6.45,12.1,32,600 x 600,32,250,250,FALSE,Inkjet,FALSE,FALSE,FALSE,Optional,50,147
HP2350,Hewlett-Packard,Deskjet 3631,MFD Color,FALSE,TRUE,18.7,7.6,13.9,11.22,20,4800 x 1200,16,60,60,FALSE,Inkjet,TRUE,FALSE,FALSE,FALSE,10,145.96
HP2351,Hewlett-Packard,Deskjet 3633,MFD Color,FALSE,TRUE,17.24,21.79,10.1,9.19,8.5,1200 x 1200,6,60,60,FALSE,Inkjet,TRUE,TRUE,FALSE,Optional,10,135
HP2352,Hewlett-Packard,DeskJet 5740,MFD Color,TRUE,TRUE,17.87,16.14,7.6,16.91,22,4800 x 1200,21,125,140,FALSE,Inkjet,TRUE,TRUE,TRUE,TRUE,40,139.95
HP2353,Hewlett-Packard,OfficeJet 4650 AiO,MFD Color,FALSE,TRUE,17.53,14.53,7.5,14.43,20,1200 x 1200,16,100,100,FALSE,Inkjet,TRUE,TRUE,TRUE,TRUE,15,85.96
